id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
6015,SCEL,large_airport,"Comodoro Arturo Merino Benítez International Airport",-33.393001556396484,-70.78579711914062,1555,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,1,SCEL,SCL,,http://www.aeropuertosantiago.cl/ingles/index.php,https://en.wikipedia.org/wiki/Comodoro_Arturo_Merino_Ben%C3%ADtez_International_Airport,,51150,2009-01-31T17:19:23+00:00
6009,SCCI,medium_airport,"President Carlos Ibañez del Campo International Airport",-53.002602,-70.854599,139,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Punta Arenas",1,SCCI,PUQ,,,https://en.wikipedia.org/wiki/Carlos_Ibanez_Del_Campo_International_Airport,,750,2021-12-22T15:07:05+00:00
6043,SCTE,medium_airport,"El Tepual Airport",-41.438899993896484,-73.09400177001953,294,SA,Chile,CL,"Los Lagos Region",CL-LL,LL,"Puerto Montt",1,SCTE,PMC,,,https://en.wikipedia.org/wiki/El_Tepual_Airport,,750,2008-07-12T07:26:32+00:00
6026,SCIP,medium_airport,"Mataveri Airport",-27.1648006439,-109.42199707,227,SA,Chile,CL,"Valparaíso Region",CL-VS,VS,"Isla De Pascua",1,SCIP,IPC,,,https://en.wikipedia.org/wiki/Mataveri_International_Airport,"Rapa Nui, Easter Island",750,2011-10-28T10:05:26+00:00
6007,SCCF,medium_airport,"El Loa Airport",-22.498199,-68.903603,7543,SA,Chile,CL,"Antofagasta Region",CL-AN,AN,Calama,1,SCCF,CJC,,,https://en.wikipedia.org/wiki/El_Loa_Airport,,750,2024-04-29T19:45:32+00:00
6018,SCFA,medium_airport,"Andrés Sabella Gálvez International Airport",-23.444501,-70.445099,455,SA,Chile,CL,"Antofagasta Region",CL-AN,AN,Antofagasta,1,SCFA,ANF,,,https://en.wikipedia.org/wiki/Andr%C3%A9s_Sabella_G%C3%A1lvez_International_Airport,"Cerro Moreno Airport",750,2019-02-15T15:15:06+00:00
6003,SCBA,medium_airport,"Balmaceda Airport",-45.915968,-71.689499,1722,SA,Chile,CL,"Aysén Region",CL-AI,AI,Balmaceda,1,SCBA,BBA,,https://aeropuertodebalmaceda.cl/,https://en.wikipedia.org/wiki/Balmaceda_Airport,,750,2024-01-18T16:01:06+00:00
6012,SCDA,medium_airport,"Diego Aracena Airport",-20.5352,-70.181297,155,SA,Chile,CL,"Tarapacá Region",CL-TA,TA,Iquique,1,SCDA,IQQ,,http://www.aeropuertodiegoaracena.cl/EN/Default.aspx#,https://en.wikipedia.org/wiki/Diego_Aracena_International_Airport,,750,2024-04-29T19:47:45+00:00
6040,SCSE,medium_airport,"La Florida Airport",-29.916201,-71.199501,481,SA,Chile,CL,"Coquimbo Region",CL-CO,CO,"La Serena-Coquimbo",1,SCSE,LSC,,,https://en.wikipedia.org/wiki/La_Florida_Airport_(Chile),COW,750,2018-05-26T16:23:04+00:00
6002,SCAT,medium_airport,"Desierto de Atacama Airport",-27.2611999512,-70.7791976929,670,SA,Chile,CL,"Atacama Region",CL-AT,AT,Copiapo,1,SCAT,CPO,,,https://en.wikipedia.org/wiki/Desierto_de_Atacama_Airport,,500,2014-07-27T13:12:49+00:00
6001,SCAR,medium_airport,"Chacalluta Airport",-18.348499,-70.338699,167,SA,Chile,CL,"Arica and Parinacota Region",CL-AP,AP,Arica,1,SCAR,ARI,,,https://en.wikipedia.org/wiki/Chacalluta_International_Airport,,750,2018-09-16T04:04:48+00:00
6025,SCIE,medium_airport,"Carriel Sur Airport",-36.772701,-73.063103,26,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,Concepcion,1,SCIE,CCP,,,https://en.wikipedia.org/wiki/Carriel_Sur_International_Airport,,750,2018-06-17T00:28:54+00:00
6031,SCNT,medium_airport,"Lieutenant Julio Gallardo Airport",-51.67067,-72.529078,217,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Puerto Natales",1,SCNT,PNT,,,https://en.wikipedia.org/wiki/Teniente_Julio_Gallardo_Airport,,500,2024-05-16T20:22:33+00:00
6024,SCHR,medium_airport,"Cochrane Airport",-47.243591,-72.58815,643,SA,Chile,CL,"Aysén Region",CL-AI,AI,Cochrane,0,SCHR,LGR,,,https://en.wikipedia.org/wiki/Cochrane_Airfield,,250,2024-05-16T20:21:35+00:00
6023,SCGZ,medium_airport,"Guardiamarina Zañartu Airport",-54.931099,-67.626297,88,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Puerto Williams",0,SCGZ,WPU,,,https://en.wikipedia.org/wiki/Guardia_Marina_Za%C3%B1artu_Airport,"Ensign Zañartu",250,2024-05-16T20:21:17+00:00
6042,SCTC,medium_airport,"Maquehue Airport",-38.766799926758,-72.637100219727,304,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Temuco,0,SCTC,PZS,,,https://en.wikipedia.org/wiki/Maquehue_Airport,ZCO,750,2016-01-15T10:50:36+00:00
6041,SCTB,small_airport,"Eulogio Sánchez Airport",-33.456299,-70.5467,2129,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SCTB,,,,https://en.wikipedia.org/wiki/Eulogio_S%C3%A1nchez_Airport,,50,2024-05-18T22:29:06+00:00
6048,SCVD,medium_airport,"Pichoy Airport",-39.6500015259,-73.0860977173,59,SA,Chile,CL,"Los Ríos Region",CL-LR,LR,Valdivia,1,SCVD,ZAL,,,https://en.wikipedia.org/wiki/Pichoy_Airport,,750,2011-11-12T15:48:51+00:00
6038,SCRG,medium_airport,"La Independencia Airport",-34.173698,-70.775703,1446,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,Rancagua,0,SCRG,,,https://www.dgac.gob.cl/aerodromo-la-independencia-entra-en-funcionamiento/,https://en.wikipedia.org/wiki/Rancagua_de_la_Independencia_Airport,QRC,250,2021-10-08T20:40:45+00:00
6027,SCJO,medium_airport,"Cañal Bajo Carlos - Hott Siebert Airport",-40.611198,-73.060997,187,SA,Chile,CL,"Los Lagos Region",CL-LL,LL,Osorno,1,SCJO,ZOS,,,https://en.wikipedia.org/wiki/Canal_Bajo_Carlos_Hott_Siebert_Airport,,750,2020-11-07T07:13:01+00:00
314783,SCQP,medium_airport,"La Araucanía Airport",-38.9259,-72.6515,333,SA,Chile,CL,"Araucanía Region",CL-AR,AR,Temuco,1,SCQP,ZCO,,,https://en.wikipedia.org/wiki/La_Araucan%C3%ADa_International_Airport,,500,2018-09-15T15:42:08+00:00
6045,SCTN,closed,"Chaitén Airfield",-42.9328,-72.6991,13,SA,Chile,CL,"Los Lagos Region",CL-LL,LL,Chaitén,0,,,,,https://en.wikipedia.org/wiki/Chait%C3%A9n_Airfield,"WCH, SCTN",250,2022-12-16T11:43:15+00:00
